Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bolivia,BOL,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,716253874.1,693954454.3,809516354.4,851175724.6,946414912,1080565198,1360672696,1803420861,2238360354,2633582875,2784672650,3310315979,3422096976,4164917350,4412205630,4898177367,5670015390,5934538201,4997498695,4229853024,4369976028,4158857031,4332374230,4400366539,4965186858,5359275053,5275484514,5313085255,5688227905,5655151008,5892765188,4794042372,5107005796,5864138346,6284467792,6967641266,6255767964,5064781762,5701040188,5780325836,5776504656,6181999153,6617099948,8141786768,8884014490,9895204080,10994252972,12990057752,13248377783,14301150537,15420129054,16025613524,15930334885,
Brasil,BRA,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,5984162469,7726273573,11863655549,15066000214,22464958636,27781563139,33801318619,42500176105,55032094033,61795286978,71983934097,81914155929,94428719114,99022210538,1.04E+11,1.04E+11,1.10E+11,1.20E+11,1.18E+11,1.15E+11,1.20E+11,1.21E+11,1.30E+11,1.45E+11,1.53E+11,1.61E+11,1.82E+11,1.99E+11,2.42E+11,2.45E+11,2.43E+11,2.30E+11,2.32E+11,2.36E+11,2.21E+11,1.88E+11,1.94E+11,2.38E+11,2.63E+11,2.82E+11,3.52E+11,4.04E+11,4.40E+11,4.84E+11,5.57E+11,5.43E+11,5.43E+11,5.43E+11,5.58E+11,5.69E+11,5.49E+11,5.72E+11,5.79E+11,
Barbados,BRB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhután,BTN,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,325908.8,1143925.1,1764110.8,2731924.9,8833074.5,20953606.6,40242793.9,67083431.5,73855715.5,83545689.9,86339685.4,89198882.7,96619573,104507960.6,105769087.6,113040448.6,119619860,171042023.7,192034098.7,211571982.8,272712510.2,386049931.1,493626169.2,601316819.9,656602174.2,721112613.6,801238273.2,693075804.2,786548880.3,934629272.1,1070492250,1449649027,1528150561,1841155641,2011104023,2289670352,2607950877,2551977085,2703804732,3036756638,3068867964,2960243054,
Botswana,BWA,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,17358400,33201565.7,74756512,114920842.5,134055048,147979450.1,166353134.3,185561932.5,125537379.1,130018668,135629101.5,159540360.1,204807763.8,228122753.2,266914783.7,345662733.4,407035314.5,543402800.4,532601060.4,549840386.8,552920438.5,612559218.7,606348584.4,663983873,700397765.1,717153185,626530347.7,574727348,532169048.7,510191242.4,452434627.4,400352880.4,491350071,514126449.3,515796292.8,460538960.4,364731487.2,425189546.8,448508779.9,1643300883,1806938427,2395188969,2526373031,2388279492,2499532552,2236640614,2126448972,1741386787,1782037130,1565096394,1597427935,1981527906,1968480647,
República Centroafricana,CAF,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,24142239.5,28420020.5,36809736.2,56151760.7,68570794,79160192.1,94577875.7,131960067.2,142360554.6,157822458.1,194665446.9,233383987.6,253472380.5,257907897.6,263621787.4,343526726.1,461863128.5,617836345.5,668836055.3,693537146.4,698505035.4,794180184,813886188.5,875128942.6,888050750.8,945983160.3,932746933.3,882958613.1,918825268.8,924194362.5,869008795.3,834810718.1,1083576141,1064243826,1116732592,1044778987,1049101554,1029858390,998708752.1,550619216,634315034.6,571183516.3,577205381.3,597631051.4,661613485.4,690626853.7,694648759,721865032.8,784431039.9,848332900.5,899190573.4,1118042891,1018228457,
Canadá,CAN,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa Central y del Báltico,CEB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suiza,CHE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas del Canal,CHI,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,5798013609,8359968255,9611696896,12088935353,16699215996,23719315917,35339526722,42438957562,44932469163,55301409899,60259186452,72538895535,86092752670,1.01E+11,1.18E+11,1.29E+11,1.47E+11,1.44E+11,1.49E+11,1.46E+11,1.84E+11,1.85E+11,2.07E+11,2.47E+11,2.86E+11,3.26E+11,3.78E+11,3.86E+11,4.54E+11,7.43E+11,1.05E+12,1.15E+12,1.48E+12,1.78E+12,1.33E+12,1.41E+12,1.71E+12,1.96E+12,2.11E+12,2.33E+12,2.70E+12,2.39E+12,
Côte d'Ivoire,CIV,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,373548111.5,514353853.5,579832810.3,863195403.9,1066224826,1464541781,1827774834,2572851392,3835985364,4772153136,7462430659,8140846171,8961395039,8858429060,8545882464,9658933261,11449812391,13577082329,13342278908,14820639274,17251135160,18174037182,18546521961,19070886308,17395169457,18898425487,19523620342,15608687763,14851815127,13221902541,12059905376,11620368634,11708673980,11680518563,13178855340,12010684932,13644008875,14385487798,12967578598,14895852333,11703427490,12791036140,9543206492,9855297626,9805804584,11387731267,11457186654,13449134231,16197579095,19831484538,25245720345,29895086912,31959962224,
Camerún,CMR,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,145926448.1,180102180.3,221568381.9,265900308.6,323585813.7,441409824.4,610919470,1112883432,1529103944,2172010619,2572800048,2646367542,2802933670,2895588378,2895906090,3161506001,4137225986,4588512729,4812725442,5364587527,6562505108,6767223906,7514931937,7745306459,9358516039,10953419023,11074529701,10751459762,11317978713,10765384770,10561281361,9748844313,10285903206,11408147626,10855782708,7700089818,3418558776,3085552121,2835553588,3237320907,3190178369,3094521348,3887899905,5177990160,5765541169,7304904667,7890233642,10048676392,11003804940,12924439476,14720283846,15373626443,15095520461,
"Congo, República Democrática del",COD,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,345217589.6,410049468.9,676590008.1,1046506469,1538500032,2038607507,2918448483,3661969554,4491696535,4527133846,4770687541,5090789469,5078792919,5335734299,5289765976,6171267764,7190751347,8749837482,8553690733,9243644819,10250731587,10831930651,10995017089,11263657313,12311690430,13229233702,12819900507,12326993317,13192158065,12155730265,11804397526,11612181087,10051613856,11433512788,11524216857,10683990345,11326304419,12459468773,13196407090,14093042023,6127402046,5564480445,5806509182,6423232452,6150645726,5996709516,5690740596,5819657762,5826110288,6487300434,7084444449,9186211933,9432253640,
"Congo, República del",COG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,118823126.3,139971709.7,158183945.8,189108209.7,260490120.6,357190252.8,381343477.1,578772687.5,782939134.2,1056884917,1527071938,1493614161,1959124338,2024885249,2062648691,3041335208,3504475081,4282641894,4050960429,4230144754,4916034648,4786605645,4725658540,5092940383,5414066742,6009994884,5220897392,5032532284,5100294660,5028225458,4675949722,4820677199,5012243895,5537629589,6834196169,6294723996,6685623800,5281147795,5237381716,5054247771,2796299602,3191826926,3585365798,4201103944,5724086141,6776694503,6666379339,7327526315,7043574268,8397253562,8223741439,8254233304,7895122663,
Colombia,COL,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,2337070269,2635933295,2964726929,3326835665,3515017083,3934674960,4123797359,5232469211,5286643741,6056966897,7135607165,8925377457,10519983135,11639494607,12274130805,14474612765,15583214226,17237208187,17214277534,17075305863,17411174140,17383347948,17560822308,19227912008,22219527944,25347081127,29206623223,32277648234,33420800455,34845494451,34329248551,36614196486,33581481522,37324166936,38237909040,37497341480,38621303305,44323265170,47039916554,53678222227,64432098617,76162726605,79245410685,92638387678,1.05E+11,1.13E+11,1.21E+11,1.26E+11,1.33E+11,1.39E+11,1.56E+11,1.72E+11,1.84E+11,
Comoras,COM,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,1172240.8,1238316,1506741.7,1691961.4,4294057.5,4721546,18516825.3,24523586.4,29353464.9,40107759,43977472.9,54854843.4,68943862.9,85804560.1,104792039.2,134214350.2,166566409.2,203347529.5,199821386.3,174684281.4,184825142.1,179473164.4,187894213.8,185123541.7,197159439.1,208925905.4,220902346.9,222230696.3,229844128.3,231531804.5,232285377.4,242747448.1,270536977.6,289991668.2,304262777.8,288623246,293423707,287667291,276201185.1,286766514,278373937.8,275725988.2,252320769.6,142571305,136793606.4,125602671.9,175006571.8,181646215,240025939.8,259253198.6,296639093.2,350292378.6,368721651,
Cabo Verde,CPV,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,39376101.9,59016887.4,71696307,76251079.2,94918904.3,113301983.5,129541097.3,124352364,126041739.9,133755465,134240227.2,141994227,147571336.8,175919927.3,214117753.8,202637635.8,206529452.3,246754113.6,328538337,319703769.2,345641178.3,387894289.8,441401882.3,464179206.7,477481514.4,524173293.2,580581230.6,626141362.5,724585647.4,884895435.6,1041521701,1248874439,1492969491,1551105789,1550559212,1552092414,1790393204,1767959868,1822340821,2072584760,2060326348,2011233514,
Costa Rica,CRI,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,320105203.5,365557659.7,437425832.2,520728368.3,654052499.3,874274975,1075347726,1415430773,1784970818,2233305116,2863520188,3427581157,3766617905,4304505395,4110799977,4515709487,4689766359,4831924390,4632683953,4686482145,3845937733,4106608753,4014350298,3937428106,3971807627,3857695605,3528323424,3505532964,3961189288,4215090815,4692408664,4886538322,5070865565,5650888483,5710643832,6485430912,6993562814,8410942484,8838788690,7760168637,8154409880,10271452442,14310369459,17134572925,19722088699,23588779506,25562670955,25615909361,28369279758,29800758229,31269331815,34107656209,38946101897,
Estados pequeos del Caribe,CSS,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,CYM,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,CYP,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Checa,CZE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemania,DEU,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,2594794.2,2637248.5,5368001.3,6284821.9,8215540.5,12235670.8,17257778.4,19240608.5,21045654.3,20521872.5,25819344.9,19839075.3,24412686.7,33566963.8,62016208.7,95976961.9,119266842.7,154398153.6,158287377.7,131250168.3,155287776.6,204846570,219983628.2,232491922.3,257722565.5,272609469.8,287861627.6,262911137.8,279286678.7,269605349.7,297885046.7,299712992.6,358712496.2,395630618.8,460336601.1,486891630.5,566640519.7,810010699.4,845231817.3,898678026.1,768541095.7,769520335.7,802385752.1,820599815.1,943103980.6,1227496570,1702240895,2266964233,2321379195,2552579803,2900369858,3206547225,3170043905,
Dominica,DMA,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,14433362,20521207.3,39153669.8,51482178.4,58688420.9,61404138.2,75382488.2,76660400.7,80613353.7,90754904.8,98099584.9,97714468.8,98251335.7,99698516.3,104872376.3,116474724,105116658.4,113898854.9,134177325.7,183329449.5,232891070.6,248883164.5,307393729.2,324952433,294216801.6,272826815,265526478.1,260470785.8,271883558.1,271398373.2,280448697.4,304777493.7,309862659,308231897.2,317214934.8,300168362.9,299719824.9,278303809,277942461.4,329092931.5,377979729.3,400731257.3,
Dinamarca,DNK,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Dominicana,DOM,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,389548000,439941275,480997700,516415715.8,625955086.1,729788380.4,875533547.7,1189250134,1406647193,1682577859,2081568255,2372036371,2598219688,3002656799,3184573376,3573469226,3762208699,4012437197,4072680855,4159662669,4484666420,4599353573,4716244896,4957324457,4366328682,4532953462,4414764302,4309979739,4473713208,4794696439,4617977128,5212380882,6574924041,7276848800,7818993971,7751825568,9219827515,10747913579,10609348066,11853860788,13498619112,15097329632,22101544978,23957826085,26269413480,26727445940,28291425525,29455812952,31864082652,35095621459,40559732187,43884654718,48242931252,
Argelia,DZA,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,939559305.4,1260807889,1549785828,2991368811,3365980296,4632815497,6114379903,10598959727,15733600491,18505548617,19363299073,18370318142,17639470179,16367488197,15890285872,18260741782,22649736537,24448828591,26101327226,27248503766,28153911739,28489965549,27351247767,26274665108,30239373925,33048876969,33651326322,30896804009,30686949509,28203525381,25461612754,22747999963,23038017583,23769718849,22415754059,17082006705,5899284213,6130383258,6240543721,7414292616,7252969909,6053727067,5515694092,5245606716,5521188949,4671396333,5463001797,5706818289,5710491550,5492379099,5177878074,7378779147,7129257356,
